Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.000375768, 0.000254623, 0.000120397, 1.9897e-05, 6507, 2679, 1089
0.000360008, 0.000214377, 0.000144627, 2.8704e-05, 6804, 2740, 1452
0.000521578, 0.000296743, 0.000223274, 2.3625e-05, 6556, 2709, 759
0.000742391, 0.000443884, 0.000296869, 4.8038e-05, 6633, 2490, 990
0.000499709, 0.000274102, 0.000225025, 5.2698e-05, 6681, 1927, 3696
0.00033732, 0.000245446, 8.8661e-05, 1.8228e-05, 6662, 1769, 1518
0.000265935, 0.000165517, 9.9835e-05, 2.9426e-05, 5930, 1602, 1452
0.000287489, 0.000189258, 9.731e-05, 2.2335e-05, 6124, 1838, 1287
0.000333014, 0.000225472, 0.000106927, 1.9819e-05, 6679, 2232, 1221
0.000392904, 0.000247504, 0.000144734, 1.6105e-05, 6452, 2392, 924
0.000415958, 0.000214072, 0.000201079, 6.1317e-05, 6572, 2672, 4653
0.000436851, 0.000231419, 0.000204491, 6.5402e-05, 6244, 2434, 4884
0.000380026, 0.000221468, 0.000157913, 4.5261e-05, 5936, 2444, 3003
0.000466372, 0.000270018, 0.000195359, 4.497e-05, 6063, 2254, 2376
0.000363043, 0.000215484, 0.000146957, 3.1831e-05, 6524, 2245, 2178
0.000358931, 0.000277457, 8.0603e-05, 1.2095e-05, 6291, 1930, 825
0.000451876, 0.000304491, 0.000146775, 2.4512e-05, 6642, 2046, 759
0.000316326, 0.00023566, 7.9815e-05, 1.5908e-05, 5893, 1519, 1023
0.00051546, 0.000316455, 0.000195121, 3.3856e-05, 6007, 1753, 1353
0.000275971, 0.000183413, 9.1679e-05, 1.7202e-05, 6374, 1955, 1221
0.0004206, 0.00023445, 0.000185452, 4.4076e-05, 6238, 2065, 2343
0.000297115, 0.000164312, 0.000131869, 3.2893e-05, 5515, 1960, 2343
0.00026421, 0.000185663, 7.7599e-05, 1.3899e-05, 6443, 1670, 759
0.000302799, 0.000197454, 0.000103615, 2.7902e-05, 6473, 1672, 1650
0.000305593, 0.000216704, 8.7428e-05, 2.1203e-05, 6244, 1542, 1254
0.000279473, 0.000177812, 0.000100864, 2.6561e-05, 6144, 1607, 1584
0.000256375, 0.000166679, 8.8821e-05, 1.4709e-05, 6065, 1433, 825
0.000295309, 0.00022053, 7.4234e-05, 9.138e-06, 5891, 1295, 330
0.000228484, 0.000155771, 7.1795e-05, 1.2504e-05, 5627, 1345, 660
0.000174392, 0.000131835, 4.177e-05, 6.077e-06, 6030, 1188, 330
0.000321616, 0.000189542, 0.000131003, 3.5622e-05, 5173, 1823, 2409
0.0003904, 0.000202752, 0.000186771, 4.0789e-05, 5416, 1923, 1914
0.000295133, 0.000184825, 0.000109524, 2.5466e-05, 5514, 1855, 1518
