mapping(ms), replan(ms), sfc(ms), mpc(ms), df(ms), 
0, 0, 0, 0.208936, 0.000664, 
0, 0, 0, 0.206643, 0.000498, 
0, 0, 0, 0.237511, 0.000782, 
0, 0, 0, 0.352097, 0.001146, 
0, 0, 0, 0.231697, 0.001132, 
0.02077, 0, 0, 0.213504, 0.000888, 
0, 0, 0, 0.313977, 0.001076, 
0, 0, 0, 0.21475, 0.001434, 
0, 0, 0, 0.314785, 0.001104, 
0, 0, 0, 0.325943, 0.001299, 
0.201813, 0, 0, 0.319331, 0.001011, 
0, 0, 0, 0.329037, 0.001003, 
0, 0, 0, 0.292797, 0.000847, 
0, 0, 0, 0.285572, 0.000857, 
0, 0, 0, 0.214413, 0.00067, 
0.190985, 0, 0, 0.219897, 0.00064, 
0, 0, 0, 0.216008, 0.000598, 
0, 0, 0, 0.288195, 0.000783, 
0, 0, 0, 0.249842, 0.001175, 
0, 0, 0, 0.279114, 0.000761, 
0.029428, 0, 0, 0.221403, 0.000614, 
0, 0, 0, 0.208754, 0.00061, 
0, 0, 0, 0.197749, 0.000523, 
0, 0, 0, 0.208892, 0.000556, 
0, 0, 0, 0.238207, 0.000889, 
0.066298, 0, 0, 0.20879, 0.000612, 
0, 0, 0, 0.216358, 0.000784, 
0, 0, 0, 0.20511, 0.000763, 
0, 0, 0, 0.214167, 0.000598, 
0, 0, 0, 0.21348, 0.001122, 
0.135679, 0, 0, 0.248046, 0.000547, 
0, 0, 0, 0.208397, 0.000969, 
0, 0, 0, 0.20242, 0.000665, 
0, 0, 0, 0.361127, 0.000976, 
0.049462, 0, 0, 0.218257, 0.000992, 
0, 0, 0, 0.249403, 0.001641, 
0, 0, 0, 0.239177, 0.000648, 
0, 0, 0, 0.313091, 0.001347, 
0, 0, 0, 0.256337, 0.00064, 
0.038902, 0, 0, 0.221676, 0.000674, 
0, 0, 0, 0.327918, 0.001223, 
0, 0, 0, 0.312723, 0.000918, 
0, 0, 0, 0.362225, 0.00132, 
0.218209, 0, 0, 0.321942, 0.000948, 
0, 0, 0, 0.306899, 0.00086, 
0, 0, 0, 0.200039, 0.000677, 
0, 0, 0, 0.233516, 0.000696, 
0, 0, 0, 0.229024, 0.000607, 
0.099285, 0, 0, 0.353716, 0.001037, 
0, 0, 0, 0.24546, 0.000893, 
0, 0, 0, 0.201872, 0.000912, 
0, 0, 0, 0.206433, 0.000602, 
0, 0, 0, 0.235373, 0.00077, 
0.017893, 0, 0, 0.218198, 0.000714, 
0, 0, 0, 0.220389, 0.00059, 
0, 0, 0, 0.332828, 0.000897, 
0, 0, 0, 0.205984, 0.000763, 
0, 0, 0, 0.326191, 0.001006, 
0.173301, 0, 0, 0.336637, 0.001054, 
0, 0, 0, 0.342178, 0.000993, 
0, 0, 0, 0.30607, 0.001069, 
0, 0, 0, 0.307005, 0.001385, 
0, 0, 0, 0.313859, 0.001045, 
0.153399, 0, 0, 0.304188, 0.000867, 
0, 0, 0, 0.299861, 0.001046, 
0, 0, 0, 0.304226, 0.000993, 
0, 0, 0, 0.308791, 0.001292, 
0, 0, 0, 0.338088, 0.001309, 
0.027401, 0, 0, 0.343621, 0.000879, 
0, 0, 0, 0.335615, 0.001223, 
0, 0, 0, 0.310073, 0.000843, 
0, 0, 0, 0.204061, 0.000943, 
0, 0, 0, 0.206957, 0.000568, 
0.076976, 0, 0, 0.2539, 0.000896, 
0, 0, 0, 0.199789, 0.000574, 
0, 0, 0, 0.209067, 0.000635, 
0, 0, 0, 0.208919, 0.000668, 
0, 0, 0, 0.286218, 0.000841, 
0.130236, 0, 0, 0.227687, 0.000679, 
0, 0, 0, 0.204151, 0.000886, 
0, 0, 0, 0.212468, 0.000904, 
0, 0, 0, 0.334807, 0.000984, 
0, 0, 0, 0.207754, 0.00078, 
0, 0, 0, 0.215428, 0.000783, 
0.050232, 0, 0, 0.181734, 0.000296, 
0, 0, 0, 0.327941, 0.000862, 
0, 0, 0, 0.340887, 0.000888, 
0.061276, 0, 0, 0.365871, 0.000692, 
0, 0, 0, 0.204635, 0.000606, 
0, 0, 0, 0.32056, 0.000797, 
0, 0, 0, 0.321789, 0.00098, 
0, 0, 0, 0.321862, 0.000961, 
0.215849, 0, 0, 0.248424, 0.000723, 
0, 0, 0, 0.194185, 0.000559, 
0, 0, 0, 0.212091, 0.00051, 
0, 0, 0, 0.206724, 0.000935, 
0, 0, 0, 0.232931, 0.000625, 
0.062574, 0, 0, 0.202683, 0.000675, 
0, 0, 0, 0.340715, 0.001142, 
0, 0, 0, 0.223974, 0.000725, 
0, 0, 0, 0.340486, 0.001024, 
0, 0, 0, 0.209503, 0.000708, 
0.035748, 0, 0, 0.320335, 0.000923, 
0, 0, 0, 0.294589, 0.00083, 
0, 0, 0, 0.21333, 0.000832, 
0, 0, 0, 0.232418, 0.000534, 
0, 0, 0, 0.205969, 0.000686, 
0.120433, 0, 0, 0.207282, 0.000629, 
0, 0, 0, 0.222919, 0.00068, 
0, 0, 0, 0.320836, 0.000799, 
0, 0, 0, 0.198566, 0.000563, 
0, 0, 0, 0.2333, 0.000656, 
0.170283, 0, 0, 0.331309, 0.001091, 
0, 0, 0, 0.353676, 0.001068, 
0, 0, 0, 0.295015, 0.000854, 
0, 0, 0, 0.293737, 0.000971, 
0, 0, 0, 0.242651, 0.000998, 
0.024728, 0, 0, 0.207764, 0.000978, 
0, 0, 0, 0.279374, 0.000821, 
0, 0, 0, 0.201124, 0.000624, 
0, 0, 0, 0.286166, 0.000794, 
0, 0, 0, 0.216743, 0.000542, 
0.11557, 0, 0, 0.333861, 0.001121, 
0, 0, 0, 0.298779, 0.000996, 
0, 0, 0, 0.197001, 0.000672, 
0, 0, 0, 0.208949, 0.000859, 
0, 0, 0, 0.337216, 0.001156, 
0.142568, 0, 0, 0.203553, 0.000699, 
0, 0, 0, 0.338868, 0.000946, 
0, 0, 0, 0.29748, 0.000998, 
0, 0, 0, 0.303652, 0.001386, 
0, 0, 0, 0.221161, 0.000701, 
0.061157, 0, 0, 0.206543, 0.000662, 
0, 0, 0, 0.177362, 0.000337, 
0, 0, 0, 0.218087, 0.001276, 
0, 0, 0, 0.234757, 0.00124, 
0.03148, 0, 0, 0.206939, 0.00104, 
0, 0, 0, 0.220723, 0.000599, 
0, 0, 0, 0.200536, 0.000582, 
0, 0, 0, 0.226609, 0.000669, 
0, 0, 0, 0.272976, 0.001389, 
0.190592, 0, 0, 0.227011, 0.000756, 
0, 0, 0, 0.20142, 0.000883, 
0, 0, 0, 0.252286, 0.000436, 
0, 0, 0, 0.256766, 0.000493, 
0, 0, 0, 0.273852, 0.000652, 
0.063326, 0, 0, 0.286972, 0.000786, 
0, 0, 0, 0.20808, 0.000577, 
0, 0, 0, 0.232901, 0.000718, 
0, 0, 0, 0.205776, 0.000887, 
0.019999, 0, 0, 0.202265, 0.000857, 
0, 0, 0, 0.338423, 0.00093, 
0, 0, 0, 0.245415, 0.000705, 
0, 0, 0, 0.198962, 0.000555, 
0, 0, 0, 0.328459, 0.001356, 
0, 0, 0, 0.309588, 0.001018, 
0.112376, 0, 0, 0.214623, 0.001015, 
0, 0, 0, 0.214864, 0.000821, 
0, 0, 0, 0.328795, 0.001112, 
0, 0, 0, 0.306631, 0.001125, 
0, 0, 0, 0.299084, 0.001444, 
0.182078, 0, 0, 0.29683, 0.001037, 
0, 0, 0, 0.286967, 0.001054, 
0, 0, 0, 0.206021, 0.000695, 
0, 0, 0, 0.315082, 0.000924, 
0.026651, 0, 0, 0.296705, 0.001037, 
0, 0, 0, 0.296287, 0.001205, 
0, 0, 0, 0.286205, 0.000955, 
0, 0, 0, 0.278642, 0.001023, 
0, 0, 0, 0.196431, 0.000643, 
0, 0, 0, 0.254761, 0.000841, 
